Family	nr_bins
c__Desulfarculia;f__Unclassified	1
c__JACPTQ01;f__Unclassified	1
c__YA12-FULL-61-11;f__Unclassified	1
f__0-14-0-20-30-16	1
f__1-14-0-10-31-34	1
f__2-01-FULL-56-20	4
f__21-14-0-10-32-9	2
f__AB-539-J10	4
f__Anstonellaceae	11
f__Arcobacteraceae	2
f__B29-G15	3
f__Bacteriovoracaceae	3
f__Bilamarchaeaceae	22
f__Bog-38	3
f__CACIAM-22H2	1
f__CAIJKY01	3
f__CAIJXV01	2
f__CAILAH01	1
f__CAINCZ01	1
f__CAINNR01	1
f__CAINOH01	7
f__CAINVO01	1
f__CAIOMD01	12
f__CAIPFW01	2
f__CAIPRZ01	1
f__CAIQBE01	8
f__CAISUE01	2
f__CAITNU01	5
f__CAIVOO01	8
f__CAIVPW01	4
f__CAIWAD01	7
f__CAIWVZ01	1
f__CAIYWZ01	2
f__CAJFTT01	1
f__CG1-02-41-26	2
f__DHVEG-1	12
f__DRVD01	1
f__DTNL01	9
f__Dormibacteraceae	4
f__Fen-1064	4
f__Ferrovibrionaceae	1
f__GW2011-AR15	2
f__GW2011-AR17	4
f__GW2011-AR5	4
f__HRBIN12	1
f__J096	1
f__JAAYKL01	1
f__JABDJR01	1
f__JABWAM01	1
f__JACPJR01	1
f__JACPNR01	1
f__JACRGF01	1
f__JAHJEM01	4
f__JAHJTO01	1
f__MWCF01	1
f__Marinilabiliaceae	1
f__Methanoregulaceae	31
f__Methanospirillaceae	10
f__Methanotrichaceae	27
f__Micrarchaeaceae	4
f__Nitrosopumilaceae	2
f__PNOQ01	4
f__PXBB01	1
f__Pelagibacteraceae	68
f__Pleomorphomonadaceae	1
f__Pyrinomonadaceae	1
f__QHBO01	1
f__QMZM01	2
f__QMZP01	3
f__RBG-13-53-26	14
f__RBG-16-60-22	3
f__REDH01	9
f__RFNS01	1
f__RVW-14	6
f__Rhodobacteraceae	22
f__Rickettsiaceae	12
f__SG8-4	18
f__SM23-78	1
f__Schleiferiaceae	1
f__TH1-2	1
f__TTA-H9	1
f__Tagabacteraceae	1
f__UBA10117	5
f__UBA10450	2
f__UBA10834	1
f__UBA11063	5
f__UBA1163	2
f__UBA11858	1
f__UBA12402	1
f__UBA148	2
f__UBA1845	2
f__UBA2020	1
f__UBA2023	1
f__UBA2100	13
f__UBA2103	7
f__UBA233	14
f__UBA2385	1
f__UBA3254	14
f__UBA4665_A	6
f__UBA525	1
f__UBA5272	10
f__UBA5542	2
f__UBA5629	8
f__UBA6016	1
f__UBA6164	1
f__UBA6776	3
f__UBA6906	1
f__UBA9294	15
f__UBA97	1
f__VFKH01	2
f__VGIX01	1
f__VGKH01	1
f__VGSZ01	5
f__VGTL01	3
f__WCHB1-27	1
f__WGMK01	1
f__WQYP01	6
f__WRAU01	2
f__X112	10
f__Zambryskibacteraceae	7
o__2-02-FULL-51-18;f__Unclassified	1
o__Burarchaeales;f__Unclassified	1
o__CADEGL01;f__Unclassified	1
o__CAIKKV01;f__Unclassified	1
o__Dehalococcoidales;f__Unclassified	1
o__Endomicrobiales;f__Unclassified	1
o__JABSQK01;f__Unclassified	2
o__Oligoflexales;f__Unclassified	1
o__Pedosphaerales;f__Unclassified	1
o__SPBP01;f__Unclassified	2
o__UBA1062;f__Unclassified	1
o__UBA2258;f__Unclassified	1
o__UBA9212;f__Unclassified	2
o__Victivallales;f__Unclassified	1
o__Woesearchaeales;f__Unclassified	1
